[CIE1964] 471
       xbar        ybar        zbar
787 2.13080e-05 8.47400e-06 0.00000e+00
788 1.99940e-05 7.95480e-06 0.00000e+00
789 1.87640e-05 7.46860e-06 0.00000e+00
790 1.76115e-05 7.01280e-06 0.00000e+00
791 1.65320e-05 6.58580e-06 0.00000e+00
792 1.55210e-05 6.18570e-06 0.00000e+00
793 1.45740e-05 5.81070e-06 0.00000e+00
794 1.36860e-05 5.45900e-06 0.00000e+00
795 1.28550e-05 5.12980e-06 0.00000e+00
796 1.20750e-05 4.82060e-06 0.00000e+00
797 1.13450e-05 4.53120e-06 0.00000e+00
798 1.06590e-05 4.25910e-06 0.00000e+00
799 1.00170e-05 4.00420e-06 0.00000e+00
800 9.41363e-06 3.76473e-06 0.00000e+00
801 8.84790e-06 3.53995e-06 0.00000e+00
802 8.31710e-06 3.32914e-06 0.00000e+00
803 7.81900e-06 3.13115e-06 0.00000e+00
804 7.35160e-06 2.94529e-06 0.00000e+00
805 6.91300e-06 2.77081e-06 0.00000e+00
806 6.50150e-06 2.60705e-06 0.00000e+00
807 6.11530e-06 2.45329e-06 0.00000e+00
808 5.75290e-06 2.30894e-06 0.00000e+00
809 5.41270e-06 2.17338e-06 0.00000e+00
810 5.09347e-06 2.04613e-06 0.00000e+00
811 4.79380e-06 1.92662e-06 0.00000e+00
812 4.51250e-06 1.81440e-06 0.00000e+00
813 4.24830e-06 1.70895e-06 0.00000e+00
814 4.00020e-06 1.60988e-06 0.00000e+00
815 3.76710e-06 1.51677e-06 0.00000e+00
816 3.54800e-06 1.42921e-06 0.00000e+00
817 3.34210e-06 1.34686e-06 0.00000e+00
818 3.14850e-06 1.26945e-06 0.00000e+00
819 2.96650e-06 1.19662e-06 0.00000e+00
820 2.79531e-06 1.12809e-06 0.00000e+00
821 2.63450e-06 1.06368e-06 0.00000e+00
822 2.48340e-06 1.00313e-06 0.00000e+00
823 2.34140e-06 9.46220e-07 0.00000e+00
824 2.20780e-06 8.92630e-07 0.00000e+00
825 2.08200e-06 8.42160e-07 0.00000e+00
826 1.96360e-06 7.94640e-07 0.00000e+00
827 1.85190e-06 7.49780e-07 0.00000e+00
828 1.74650e-06 7.07440e-07 0.00000e+00
829 1.64710e-06 6.67480e-07 0.00000e+00
830 1.55314e-06 6.29700e-07 0.00000e+00
